NAME,AXIOM_NB,SUBSUMED,NEW_FTGD_NB,NEW_NFTGD_NB,OUTPUT_SIZE,TIME
00443,13730,0,9341,15397,12608,7013
00444,13730,0,9348,15423,12608,7018
00445,1342,3,1224,482,1303,436
00446,1864,153,2994,862,1826,520
00447,1864,168,3443,912,1828,542
00448,74255,13914,64901,127672,61495,455440
00449,2201,447,3848,1439,2172,619
00450,3179,510,3826,1448,3236,653
00451,5119,185,4279,3845,4979,945
00452,7279,212,6030,5918,6820,1545
00453,157,0,0,0,157,234
00454,416,89,498,152,420,329
00455,990,0,0,0,990,315
00456,990,0,0,0,990,322
00457,1684,100,1652,1091,1653,456
00458,1684,93,1663,1126,1653,447
00459,10918,2367,21163,12805,10098,6745
00460,19402,4274,17984,30547,18007,12197
00461,19402,4318,18231,29697,18002,11922
00462,24442,976321,1333046,394309,0,TIMEOUT
00463,17687,383997,1169888,79313,0,TIMEOUT
00464,235,0,69,409,151,300
00465,414,0,191,814,346,336
00466,6603,0,0,0,6603,584
00467,6603,0,0,0,6603,535
00468,725,2,676,113,724,357
00469,931,31,906,191,923,371
00470,119559,422,64486,90917,0,TIMEOUT
00471,121711,412,88380,73950,0,TIMEOUT
00472,119559,446,63953,90180,0,TIMEOUT
00473,121711,397,88249,73188,0,TIMEOUT
00474,88,4,66,91,75,267
00475,105,16,75,122,93,250
00476,2811,6620,85181,4116,4082,8755
00477,167349,1,125352,68416,0,TIMEOUT
00478,937,0,0,0,937,299
00479,811,1036,1765,4701,745,562
00480,918,1953,3224,5235,830,610
00481,0,0,0,0,0,201
00482,0,0,0,0,0,195
00483,128780,17540,89272,89205,0,TIMEOUT
00484,137395,6341,78906,97254,0,TIMEOUT
00485,5291,1264061,1384988,7818,5574,547530
00486,54561,77410,284688,62100,0,TIMEOUT
00487,78529,39695,119924,119295,0,TIMEOUT
00488,54548,31863,246641,70000,0,TIMEOUT
00489,61942,34357,192130,87613,0,TIMEOUT
00490,0,0,0,0,0,191
00491,0,0,0,0,0,212
00492,0,0,0,0,0,194
00493,76,0,0,0,76,221
00494,2335,0,1642,2464,2190,642
00495,2335,0,1654,2446,2190,649
00496,13458,181,9668,15424,12764,4415
00497,8339,0,5429,10303,7540,3145
00498,8339,0,5387,10320,7540,3204
00499,13044,0,0,0,13044,713
