NAME,NFTGD_NB,FTGD_NB,SUBSUMED,NEW_FTGD_NB,NEW_NFTGD_NB,NEW_OUTPUT_SIZE,OUTPUT_SIZE,BODY_SK_ATOMS_MAX,EVOL_TIME,SUMB_TIME,TIME
00138,0,384,0,0,0,0,384,N/A,0,0,76
00139,0,145,0,0,0,0,145,N/A,0,0,63
00140,0,511,0,0,0,0,511,N/A,0,0,74
00141,0,116,0,0,0,0,116,N/A,0,0,51
00142,0,604,0,0,0,0,604,N/A,0,0,86
00143,0,187,0,0,0,0,187,N/A,0,0,65
00144,0,2168,0,0,0,0,2168,N/A,0,0,151
00145,0,60,0,0,0,0,60,N/A,0,0,46
00146,0,1211,0,0,0,0,1211,N/A,0,0,115
00147,0,4,0,0,0,0,4,N/A,0,0,37
00148,0,629,0,0,0,0,629,N/A,0,0,91
00149,0,213,0,0,0,0,213,N/A,0,0,73
00150,0,84,0,0,0,0,84,N/A,0,0,50
00151,48,263,107114,8215,102025,29,292,N/A,4389,9920,15376
00152,0,22,0,0,0,0,22,N/A,0,0,40
00153,24,186,0,0,0,0,186,N/A,21,0,114
00154,0,6,0,0,0,0,6,N/A,0,0,37
00155,0,86,0,0,0,0,86,N/A,0,0,48
00156,0,0,0,0,0,0,0,N/A,0,0,13
00157,0,438,0,0,0,0,438,N/A,0,0,75
00159,0,316,0,0,0,0,316,N/A,0,0,72
00161,0,0,0,0,0,0,0,N/A,0,0,14
00162,0,9,0,0,0,0,9,N/A,0,0,38
00163,0,31,0,0,0,0,31,N/A,0,0,42
00164,3,31,0,1,0,1,32,N/A,4,2,70
00165,0,125,0,0,0,0,125,N/A,0,0,52
00166,0,10,0,0,0,0,10,N/A,0,0,39
00167,12,451,71,9,66,1,452,N/A,30,6,148
00168,0,47,0,0,0,0,47,N/A,0,0,45
00169,22,168,22,5,18,0,168,N/A,18,4,114
00170,9,120,7,4,3,0,120,N/A,8,2,93
00171,12,61,10,0,10,0,61,N/A,17,3,100
00172,108,190,22106,1687,21495,26,216,N/A,1128,520,1973
00173,120,98,380,125,282,29,127,N/A,98,23,262
