NAME,NFTGD_NB,FTGD_NB,SUBSUMED,NEW_FTGD_NB,NEW_NFTGD_NB,NEW_OUTPUT_SIZE,OUTPUT_SIZE,TIME
00193,0,116,0,0,0,0,116,106
00194,0,0,0,0,0,0,0,43
00195,0,155,0,0,0,0,155,96
00196,0,36,0,0,0,0,36,72
00197,0,80,0,0,0,0,80,82
00198,0,85,0,0,0,0,85,80
00199,0,0,0,0,0,0,0,42
00200,0,42,0,0,0,0,42,75
00201,0,25,0,0,0,0,25,109
00202,0,165,0,0,0,0,165,102
00203,0,21,0,0,0,0,21,113
00204,0,67,0,0,0,0,67,76
00205,0,5,0,0,0,0,5,66
00206,0,8,0,0,0,0,8,80
00207,0,8,0,0,0,0,8,68
00208,0,9,0,0,0,0,9,76
00209,18,27,0,0,0,0,27,190
00210,6,19,10,0,10,0,19,128
00211,0,106,0,0,0,0,106,132
00212,2,3,0,0,0,0,3,129
00213,2,3,0,0,0,0,3,95
00214,11,21,3,0,3,0,21,210
00215,7,10,2,0,2,0,10,129
00216,0,7,0,0,0,0,7,67
00217,1,8,0,0,0,0,8,88
00218,6,8,2,0,2,0,8,130
00219,0,18,0,0,0,0,18,69
00220,2,3,0,0,0,0,3,108
00221,1,16,2,0,2,0,16,124
00222,5,51,5,0,5,0,51,168
00223,4,8,0,0,0,0,8,114
00224,2,7,1,0,1,0,7,98
00225,0,3,0,0,0,0,3,79
00226,0,5,0,0,0,0,5,79
00227,0,6,0,0,0,0,6,77
00228,0,12,0,0,0,0,12,68
00229,2,36,4,2,2,0,36,127
00230,2,5,0,0,0,0,5,88
00231,0,4,0,0,0,0,4,91
00232,0,38,0,0,0,0,38,78
00233,1,4,0,0,0,0,4,90
00234,0,8,0,0,0,0,8,78
00235,6,18,2,0,2,0,18,112
00236,6,22,0,0,0,0,22,112
00237,1,2,0,0,0,0,2,94
00238,5,17,7,0,7,0,17,171
00239,0,215,0,0,0,0,215,129
00240,0,51,0,0,0,0,51,91
00241,1,28,2,0,2,0,28,125
00242,5,16,0,0,0,0,16,101
00243,0,83,0,0,0,0,83,79
00244,0,0,0,0,0,0,0,56
00245,0,0,0,0,0,0,0,62
00246,0,0,0,0,0,0,0,46
00247,0,0,0,0,0,0,0,55
00248,0,101,0,0,0,0,101,88
00249,0,97,0,0,0,0,97,91
00250,0,111,0,0,0,0,111,91
00251,0,104,0,0,0,0,104,83
00252,0,107,0,0,0,0,107,110
00253,0,103,0,0,0,0,103,90
00254,0,164,0,0,0,0,164,95
00255,0,17,0,0,0,0,17,71
00256,0,65,0,0,0,0,65,88
00257,0,0,0,0,0,0,0,56
00258,0,0,0,0,0,0,0,43
