NAME,AXIOM_NB,OUTPUT_SIZE,TIME
00750,490,680,1590
00751,499,747,2544
00752,1558,2485,45589
00753,426,666,1359
00754,1882,3437,97838
00755,928,1477,9832
00756,1173,1821,20463
00757,1727697,1604386,38183
00758,82119,0,TIMEOUT
00759,7848,7456,2835
00760,222048,0,TIMEOUT
00761,18747,0,TIMEOUT
00762,9136,0,TIMEOUT
00763,402,395,735
00764,82119,0,TIMEOUT
00765,11,11,263
00766,2057,2047,836
00767,37,39,259
00768,8283,7869,3032
00769,5185,4699,1326
00770,5196,4811,1437
00771,1,2,239
00772,619,669,416
00773,604,640,403
00774,604,638,417
00775,298,515,505
00776,89,95,279
00777,89,95,282
00778,91618,0,TIMEOUT
00779,223,223,307
00780,223,223,322
00781,373,442,1956
00782,373,441,667
00783,371,439,420
00784,933,1012,423
00786,135545,0,TIMEOUT
00787,58730,0,TIMEOUT
00788,2294,2364,941
00789,2347,2422,713
00790,2554,2634,598
00792,56605,0,TIMEOUT
00793,284,340,446
00795,112804,0,TIMEOUT
