NAME,NFTGD_NB,FTGD_NB,SUBSUMED,NEW_FTGD_NB,NEW_NFTGD_NB,NEW_OUTPUT_SIZE,OUTPUT_SIZE,BODY_SK_ATOMS_MAX,EVOL_TIME,SUMB_TIME,TIME
00259,0,6,0,0,0,0,6,N/A,0,0,38
00260,0,0,0,0,0,0,0,N/A,0,0,13
00261,0,1,0,0,0,0,1,N/A,0,0,34
00262,0,1,0,0,0,0,1,N/A,0,0,35
00263,0,0,0,0,0,0,0,N/A,0,0,12
00264,0,2,0,0,0,0,2,N/A,0,0,35
00265,0,0,0,0,0,0,0,N/A,0,0,13
00266,0,17,0,0,0,0,17,N/A,0,0,42
00267,4,7,0,0,0,0,7,N/A,13,0,84
00268,0,3,0,0,0,0,3,N/A,0,0,36
00269,0,72,0,0,0,0,72,N/A,0,0,61
00270,0,63,0,0,0,0,63,N/A,0,0,60
00271,0,65,0,0,0,0,65,N/A,0,0,63
00272,0,77,0,0,0,0,77,N/A,0,0,65
00273,0,71,0,0,0,0,71,N/A,0,0,62
00274,0,94,0,0,0,0,94,N/A,0,0,63
00275,0,127,0,0,0,0,127,N/A,0,0,68
00276,0,13,0,0,0,0,13,N/A,0,0,41
00277,0,101,0,0,0,0,101,N/A,0,0,56
00278,0,0,0,0,0,0,0,N/A,0,0,13
00279,26,176,38,0,46,0,176,N/A,61,5,174
00280,0,257,0,0,0,0,257,N/A,0,0,80
00281,13,350,21606,5554,16328,50,400,N/A,7120,416,8091
00282,66,903,385456,128388,262288,45,948,N/A,527534,59117,TIMEOUT
00283,86,990,278054,115581,166294,11,1001,N/A,549665,31972,TIMEOUT
00284,84,1234,686234,77766,610710,4,1238,N/A,540241,53713,TIMEOUT
00285,66179,72403,34989,5922,33517,3552,75955,N/A,33668,550678,TIMEOUT
00286,13961,38228,85639,13926,80014,8368,46596,N/A,52727,419120,482512
00287,0,25,0,0,0,0,25,N/A,0,0,43
00288,0,84,0,0,0,0,84,N/A,0,0,62
00289,0,35,0,0,0,0,35,N/A,0,0,45
00290,7,139,20,0,29,0,139,N/A,46,4,145
00292,0,31,0,0,0,0,31,N/A,0,0,44
00293,16,2086,0,0,0,0,2086,N/A,13,0,338
00294,0,41,0,0,0,0,41,N/A,0,0,57
00295,0,42,0,0,0,0,42,N/A,0,0,58
00296,16,71,51,25,28,0,71,N/A,67,6,166
00297,0,71,0,0,0,0,71,N/A,0,0,60
00298,0,81,0,0,0,0,81,N/A,0,0,64
00299,0,9,0,0,0,0,9,N/A,0,0,38
