NAME,NFTGD_NB,FTGD_NB,SUBSUMED,NEW_FTGD_NB,NEW_NFTGD_NB,NEW_OUTPUT_SIZE,OUTPUT_SIZE,EVOL_TIME,TIME
00418,404,395,198,39202,0,198,593,987,10930
00419,2992,4470,8393,345730,18247,42,4512,4778,TIMEOUT
00420,2960,5169,11074,172309,20176,1208,6377,7329,319572
00421,1432,1273,4606,150904,953,3985,5258,9471,228837
00422,840,672,966,44727,841,682,1354,1747,20394
00423,1238,714,27,0,823,0,714,62,565
00424,1456,1463,1161,56703,2840,714,2177,3752,48065
00425,23250,26750,68879,0,270765,0,26750,2522,85484
00426,48842,44891,158237,0,607213,0,44891,6503,429144
00428,0,0,0,0,0,0,0,0,43
00429,0,0,0,0,0,0,0,0,42
00430,718,178,24,151,140,1,179,31,243
00431,718,178,24,151,140,1,179,30,244
00432,476,137,0,0,398,0,137,21,216
00433,484,137,0,0,402,0,137,24,231
00434,0,21034,0,0,0,0,21034,0,587
00435,2,9081,0,0,0,0,9081,0,352
00436,4616,24014,565,323940,2020,0,24014,3901,TIMEOUT
00437,88494,90904,144,185976,896,0,90904,2281,TIMEOUT
00438,3024,3024,11,474768,0,0,3024,5537,TIMEOUT
00439,0,0,0,0,0,0,0,0,43
00440,0,0,0,0,0,0,0,0,42
00441,0,0,0,0,0,0,0,0,43
00442,0,0,0,0,0,0,0,0,43
00443,27460,0,0,0,0,0,0,0,1170
00444,27460,0,0,0,0,0,0,0,1110
00445,240,1222,12,0,387,0,1222,17,215
00446,328,1659,154,3536,523,133,1792,216,1041
00447,328,1659,154,3536,523,133,1792,233,1012
00448,49694,49406,191115,75167,642477,13148,62554,11587,TIMEOUT
00449,414,2013,397,4838,1168,237,2250,323,1558
00450,716,2838,1512,3451,3023,347,3185,344,1483
00451,4514,2862,642,0,10718,0,2862,149,1291
00452,6326,4116,1271,0,18008,0,4116,223,2376
00453,0,157,0,0,0,0,157,0,85
00454,138,347,3065,7826,0,3065,3412,866,1857
00455,0,990,0,0,0,0,990,0,121
00456,0,990,0,0,0,0,990,0,127
00457,160,1604,58,0,440,0,1604,18,215
00458,160,1604,58,0,440,0,1604,16,217
00459,8026,6900,4541,36972,23873,436,7336,7656,36971
00460,18046,10382,15282,1410,85439,682,11064,737,13896
00461,18046,10382,15282,1410,85439,682,11064,782,13888
00462,18866,13435,538,413006,3378,0,13435,4953,TIMEOUT
00463,18866,10339,316,445291,3362,0,10339,5052,TIMEOUT
00464,458,6,0,0,0,0,6,0,152
00465,564,132,0,0,349,0,132,26,231
00466,0,6603,0,0,0,0,6603,0,259
00467,0,6603,0,0,0,0,6603,0,264
