NAME,NFTGD_NB,FTGD_NB,SUBSUMED,NEW_FTGD_NB,NEW_NFTGD_NB,NEW_OUTPUT_SIZE,OUTPUT_SIZE,TIME
00041,14319,67437,37117,2685,36858,427,67864,TIMEOUT
00042,15417,71082,40853,3467,40726,813,71895,TIMEOUT
00044,14319,67400,33813,1762,35140,427,67827,TIMEOUT
00045,42412,98673,12447,2616,11436,78,98751,TIMEOUT
00046,15352,69253,36355,1351,37972,427,69680,TIMEOUT
00047,14431,67545,36934,1389,38334,427,67972,TIMEOUT
00048,14739,70580,36319,1767,37148,432,71012,TIMEOUT
00049,15,52,192,91,109,8,60,459
00050,15,51,134,63,79,8,59,399
00051,0,0,0,0,0,0,0,72
00052,3764,25233,20245,0,20243,0,25233,20428
00053,0,1129,0,0,0,0,1129,392
00054,0,3,0,0,0,0,3,146
00055,23,212,61,9,64,2,214,430
00056,0,12,0,0,0,0,12,113
00057,3,11,6,0,6,0,11,225
00058,3,7,3,0,3,0,7,158
00059,5,47,5,0,5,0,47,204
00060,9,72,10,0,10,0,72,197
00061,0,6,0,0,0,0,6,111
00062,10,72,10,0,10,0,72,215
00063,12,61,12,0,12,0,61,216
00064,0,3,0,0,0,0,3,118
00065,3,12,5,0,5,0,12,183
00066,1,20,1,0,1,0,20,163
00067,0,24,0,0,0,0,24,116
00068,2,33,2,0,2,0,33,148
00069,1,8,1,0,1,0,8,134
00070,0,42,0,0,0,0,42,117
00071,1,14,1,0,1,0,14,224
00072,1,31,1,0,1,0,31,150
00073,6,77,8,3,6,1,78,226
00074,0,21,0,0,0,0,21,160
00075,2,125,2,1,2,1,126,229
00076,0,186,0,0,0,0,186,197
00077,0,4,0,0,0,0,4,124
00078,10,748,74,23,56,5,753,335
00079,2,32,2,0,2,0,32,341
00080,0,26,0,0,0,0,26,160
00081,93,679,94,0,94,0,679,675
00082,196,263,610,6,606,2,265,865
00083,0,15,0,0,0,0,15,169
00084,0,4,0,0,0,0,4,177
00085,0,2,0,0,0,0,2,119
00086,0,0,0,0,0,0,0,104
00087,0,77,0,0,0,0,77,161
00088,0,105,0,0,0,0,105,149
00089,0,87,0,0,0,0,87,141
00090,0,66,0,0,0,0,66,124
00091,0,13,0,0,0,0,13,102
00092,0,32,0,0,0,0,32,106
00093,0,216,0,0,0,0,216,139
00094,17,138,51,30,32,11,149,232
00095,0,63,0,0,0,0,63,174
00096,0,0,0,0,0,0,0,70
00097,0,0,0,0,0,0,0,98
00098,0,0,0,0,0,0,0,88
00099,0,0,0,0,0,0,0,70
00100,0,0,0,0,0,0,0,73
00101,0,0,0,0,0,0,0,66
00102,0,0,0,0,0,0,0,82
00103,0,263,0,0,0,0,263,207
00104,0,1124,0,0,0,0,1124,333
00105,0,11,0,0,0,0,11,205
00106,4,43,6,0,6,0,43,186
00107,0,22,0,0,0,0,22,224
00108,0,16,0,0,0,0,16,166
00109,0,83,0,0,0,0,83,207
00110,172,244,528,4,525,1,245,874
00111,0,44,0,0,0,0,44,136
00112,15,118,41,12,30,0,118,367
00113,12,24,8,0,9,0,24,195
00114,12,43,212,101,156,27,70,665
00115,0,216,0,0,0,0,216,197
00116,5,37,14,6,12,3,40,302
00117,2437,4826,362685,0,367378,0,4826,TIMEOUT
00118,18,89,202,61,175,16,105,609
00119,0,3,0,0,0,0,3,122
00120,8,55,32,20,18,6,61,297
00121,0,0,0,0,0,0,0,83
00122,0,2,0,0,0,0,2,114
00123,0,0,0,0,0,0,0,77
00124,0,0,0,0,0,0,0,73
00125,0,0,0,0,0,0,0,78
00126,0,0,0,0,0,0,0,78
00127,0,0,0,0,0,0,0,82
00128,0,1,0,0,0,0,1,145
00129,0,13,0,0,0,0,13,137
00130,0,3,0,0,0,0,3,131
00131,0,0,0,0,0,0,0,79
00132,0,18,0,0,0,0,18,117
00133,0,10,0,0,0,0,10,127
00134,0,0,0,0,0,0,0,83
00135,0,55,0,0,0,0,55,138
00136,0,48,0,0,0,0,48,145
00137,0,158,0,0,0,0,158,171
00138,0,384,0,0,0,0,384,198
00139,0,145,0,0,0,0,145,169
00140,0,511,0,0,0,0,511,230
00141,0,116,0,0,0,0,116,174
00142,0,604,0,0,0,0,604,212
00143,0,187,0,0,0,0,187,171
00144,0,2168,0,0,0,0,2168,295
00145,0,60,0,0,0,0,60,143
00146,0,1211,0,0,0,0,1211,249
00147,0,4,0,0,0,0,4,115
00148,0,629,0,0,0,0,629,226
00149,0,213,0,0,0,0,213,199
00150,0,84,0,0,0,0,84,143
00151,48,263,164539,12017,155708,29,292,27883
00152,0,22,0,0,0,0,22,109
00153,24,186,2,0,2,0,186,235
00154,0,6,0,0,0,0,6,103
00155,0,86,0,0,0,0,86,244
00156,0,0,0,0,0,0,0,81
00157,0,438,0,0,0,0,438,214
00159,0,316,0,0,0,0,316,302
00161,0,0,0,0,0,0,0,91
00162,0,9,0,0,0,0,9,127
00163,0,31,0,0,0,0,31,149
00164,3,31,0,1,0,1,32,224
00165,0,125,0,0,0,0,125,230
00166,0,10,0,0,0,0,10,124
00167,12,456,115,14,105,1,457,511
00168,0,50,0,0,0,0,50,153
00169,22,169,46,6,41,0,169,341
00170,9,121,15,4,11,0,121,310
00171,12,61,21,0,21,0,61,325
00172,108,190,23618,1781,22913,26,216,5177
00173,120,98,673,293,407,29,127,908
00174,1776,3626,323222,0,328141,0,3626,TIMEOUT
00175,0,216,0,0,0,0,216,184
00176,28,76,74,21,75,12,88,307
00177,0,357,0,0,0,0,357,158
00178,0,46,0,0,0,0,46,133
00179,0,25,0,0,0,0,25,128
00180,0,0,0,0,0,0,0,114
00181,0,0,0,0,0,0,0,98
00182,0,0,0,0,0,0,0,87
00183,0,0,0,0,0,0,0,71
00184,0,0,0,0,0,0,0,82
00185,0,0,0,0,0,0,0,84
00186,0,0,0,0,0,0,0,85
00187,0,0,0,0,0,0,0,89
00188,0,0,0,0,0,0,0,76
00189,0,7,0,0,0,0,7,123
00190,0,12,0,0,0,0,12,121
00191,0,0,0,0,0,0,0,75
00192,0,0,0,0,0,0,0,74
00193,0,116,0,0,0,0,116,172
00194,0,0,0,0,0,0,0,76
00195,0,155,0,0,0,0,155,165
00196,0,36,0,0,0,0,36,125
00197,0,80,0,0,0,0,80,154
00198,0,85,0,0,0,0,85,155
00199,0,0,0,0,0,0,0,93
00200,0,42,0,0,0,0,42,131
00201,0,25,0,0,0,0,25,128
00202,0,225,0,0,0,0,225,199
00203,0,21,0,0,0,0,21,126
00204,0,67,0,0,0,0,67,150
00205,0,5,0,0,0,0,5,132
00206,0,8,0,0,0,0,8,130
00207,0,8,0,0,0,0,8,171
00208,0,9,0,0,0,0,9,166
00209,18,27,21,0,21,0,27,245
00210,5,19,10,0,10,0,19,201
00211,0,106,0,0,0,0,106,286
00212,2,3,2,0,2,0,3,136
00213,2,3,2,0,2,0,3,163
00214,11,21,18,0,18,0,21,182
00215,7,10,16,0,16,0,10,155
00216,0,7,0,0,0,0,7,133
00217,1,8,1,0,1,0,8,184
00218,6,8,7,0,7,0,8,193
00219,0,18,0,0,0,0,18,134
00220,2,3,2,0,2,0,3,167
00221,1,16,3,0,3,0,16,186
00222,5,51,12,0,12,0,51,232
00223,4,8,7,0,7,0,8,262
00224,2,7,3,0,3,0,7,168
00225,0,3,0,0,0,0,3,125
00226,0,5,0,0,0,0,5,128
00227,0,6,0,0,0,0,6,129
00228,0,12,0,0,0,0,12,154
